SentID,ID,FORM,LEMMA,UPOS,XPOS,HEAD,DEPREL,Case,Number,Gender,Tense,Person,VerbForm,Mood,ExtPos,Gloss,Hyperlemma,Root,OrigLang,,,,,,,,,,,,,
0,1,Ic,ic,PRON,PRP,2,nsubj,Nom,Sing,,,1,,,,I,I,*eǵh₂,,,,,,,,,,,,,,
,2,ƿrat,ƿritan,VERB,VBD,0,root,,Sing,,Past,1,Fin,Ind,,wrote,write,*wrey,,,,,,,,,,,,,,
,3,þis,þis,DET,DT,4,det,Acc,Sing,Neut,,,,,,this,this,*so,,,,,,,,,,,,,,
,4,fers,fers,NOUN,NN,2,obj,Acc,Sing,Neut,,,,,,verse,verse,*wert,lat,,,,,,,,,,,,,
,5,to,to,ADP,IN,6,case,,,,,,,,,as,to,*de,,,,,,,,,,,,,,
,6,bisene,bisen,NOUN,NN,2,obl,Dat,Sing,Fem,,,,,,example,bisen,*bʰeudʰ,,,,,,,,,,,,,,
,7,.,.,PUNCT,.,2,punct,,,,,,,,,.,.,_,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,Þæt,se,DET,DT,2,det,Nom,Sing,Neut,,,,,,the,the,*so,,,,,,,,,,,,,,
,2,mæden,mæden,NOUN,NN,3,nsubj,Nom,Sing,Neut,,,,,,girl,maiden,*mogʰ,,,,,,,,,,,,,,
,3,ƿrat,ƿritan,VERB,VBD,0,root,,Sing,,Past,3,Fin,Ind,,wrote,write,*wrey,,,,,,,,,,,,,,
,4,hyre,heo,PRON,PRP$,5,nmod:poss,Gen,Sing,Fem,,,,,,her,she,*ḱey,,,,,,,,,,,,,,
,5,freonde,freond,NOUN,NN,3,iobj,Dat,Sing,Masc,,,,,,friend,friend,*preyH,,,,,,,,,,,,,,
,6,ærend-ƿrit,ærend-ƿrit,NOUN,NN,3,obj,Acc,Sing,Neut,,,,,,letter,errand-writ,*h₂eyeri-wrey,,,,,,,,,,,,,,
,7,.,.,PUNCT,.,3,punct,,,,,,,,,.,.,_,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,Ic,ic,PRON,PRP,2,nsubj,Nom,Sing,,,1,,,,I,I,*eǵh₂,,,,,,,,,,,,,,
,2,þence,þencan,VERB,VBP,0,root,,Sing,,Pres,1,Fin,Ind,,think,think,*teng,,,,,,,,,,,,,,
,3,þæt,þæt,SCONJ,IN,5,mark,,,,,,,,,that,that,*tod,,,,,,,,,,,,,,
,4,hit,hit,PRON,PRP,5,nsubj,Nom,Sing,Neut,,3,,,,it,it,*ḱey,,,,,,,,,,,,,,
,5,reȝnaþ,reȝnian,VERB,VBZ,2,ccomp,,Sing,,,3,Fin,Ind,,rains,rain,*Hreǵʰ,,,,,,,,,,,,,,
,6,.,.,PUNCT,.,2,punct,,,,,,,,,.,.,_,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,He,he,PRON,PRP,2,nsubj,Nom,Sing,Masc,,3,,,,he,he,*ḱís,,,,,,,,,,,,,,
,2,ȝesohte,ȝesecan,VERB,VBD,0,root,,Sing,,Past,3,Fin,Ind,,tried,seek,*seh₂ǵ,,,,,,,,,,,,,,
,3,to,to,PART,TO,4,case,,,,,,,,,to,to,*de,,,,,,,,,,,,,,
,4,ȝesƿicanne,ȝesƿican,VERB,VB,2,xcomp,,Sing,,,,Inf,,,stop,geswican,*sweyg,,,,,,,,,,,,,,
